"MPID","Name","Name_GD","Name_OP","Party.Name","PC_Ever","Reform_Ever","CdnAlliance_Ever"
"MP78","Bob Mills","MILLS, Bob","Bob Mills","Reform Party",0,1,1
NA,"Allan Kerpan","KERPAN, Allan",NA,"Reform Party",0,1,0
NA,"Bernard St-Laurent","ST-LAURENT, Bernard",NA,"Independent",0,0,0
NA,"Bill Gilmour","GILMOUR, Bill",NA,"Reform Party",0,1,1
NA,"Bob Ringma","RINGMA, Bob",NA,"Reform Party",0,1,0
NA,"Charlie Penson","PENSON, Charlie",NA,"Reform Party",0,1,1
NA,"Werner Schmidt","SCHMIDT, Werner",NA,"Reform Party",0,1,1
NA,"Jack Frazer","FRAZER, Jack",NA,"Reform Party",0,1,0
NA,"Mike Scott","SCOTT, Mike",NA,"Reform Party",0,1,1
NA,"Jake Hoeppner","HOEPPNER, Jake E.",NA,"Reform Party",0,1,0
NA,"Cliff Breitkreuz","BREITKREUZ, Cliff",NA,"Reform Party",0,1,1
NA,"Dale Johnston","JOHNSTON, Dale",NA,"Reform Party",0,1,1
NA,"Daphne Jennings","JENNINGS, Daphne",NA,"Reform Party",0,1,0
NA,"Darrel Stinson","STINSON, Darrel",NA,"Reform Party",0,1,1
NA,"Dave Chatters","CHATTERS, Dave",NA,"Reform Party",0,1,1
NA,"Ian Mcclelland","MCCLELLAND, Ian",NA,"Reform Party",0,1,1
NA,"Jim Hart","HART, Jim",NA,"Reform Party",0,1,1
NA,"Jim Silye","SILYE, Jim",NA,"Reform Party",0,1,0
NA,"Ed Harper","HARPER, Ed",NA,"Reform Party",0,1,0
NA,"Elsie Wayne","WAYNE, Elsie",NA,"Progressive Conservative Party",1,0,0
NA,"Elwin Hermanson","HERMANSON, Elwin",NA,"Reform Party",0,1,0
NA,"Sharon Hayes","HAYES, Sharon",NA,"Reform Party",0,1,0
NA,"Herb Grubel","GRUBEL, Herb",NA,"Reform Party",0,1,0
NA,"Hugh Hanrahan","HANRAHAN, Hugh",NA,"Reform Party",0,1,0
NA,"Jan Brown","BROWN, Jan",NA,"Reform Party",0,1,0
NA,"Grant Hill","HILL, Grant",NA,"Reform Party",1,1,1
NA,"Preston Manning","MANNING, Preston",NA,"Reform Party",0,1,1
NA,"Ted White","WHITE, Ted",NA,"Reform Party",0,1,1
NA,"Margaret Bridgman","BRIDGMAN, Margaret",NA,"Reform Party",0,1,0
NA,"Jack Ramsay","RAMSAY, Jack",NA,"Reform Party",0,1,1
NA,"Randy White","WHITE, Randy",NA,"Reform Party",0,1,1
NA,"Jim Gouk","GOUK, Jim",NA,"Reform Party",0,1,1
NA,"Paul Forseth","FORSETH, Paul E.",NA,"Reform Party",0,1,1
NA,"Ray Speaker","SPEAKER, Ray",NA,"Reform Party",0,1,0
NA,"Lee Morrison","MORRISON, Lee",NA,"Reform Party",0,1,1
NA,"Philip William Mayfield","MAYFIELD, Philip William",NA,"Reform Party",0,1,0
NA,"Val Meredith","MEREDITH, Val",NA,"Reform Party",0,1,1
"MP189","Deepak Obhrai","OBHRAI, Deepak","Deepak Obhrai","Reform Party",1,1,1
"MP258","Gary Lunn","LUNN, Gary","Gary Lunn","Canadian Alliance",0,1,1
"MP265","Gerald Keddy","KEDDY, Gerald","Gerald Keddy","Progressive Conservative Party",1,0,0
"MP271","Gerry Ritz","RITZ, Gerry","Gerry Ritz","Canadian Alliance",0,1,1
"MP302","Inky Mark","MARK, Inky","Inky Mark","Reform Party",1,1,1
"MP324","Jason Kenney","KENNEY, Jason","Jason Kenney","Canadian Alliance",0,1,1
"MP470","Loyola Hearn","HEARN, Loyola","Loyola Hearn","Progressive Conservative Party",1,0,0
"MP533","Maurice Vellacott","VELLACOTT, Maurice","Maurice Vellacott","Reform Party",0,1,1
"MP616","Peter Goldring","GOLDRING, Peter","Peter Goldring","Reform Party",0,1,1
"MP639","Rahim Jaffer","JAFFER, Rahim","Rahim Jaffer","Reform Party",0,1,1
"MP670","Rick Casson","CASSON, Rick","Rick Casson","Reform Party",0,1,1
"MP674","Rob Anders","ANDERS, Rob","Rob Anders","Reform Party",0,1,1
"MP68","Bill Matthews","MATTHEWS, Bill",NA,"Progressive Conservative Party",1,0,0
"MP722","Scott Brison","BRISON, Scott",NA,"Progressive Conservative Party",1,0,0
"MP758","Stockwell Day","DAY, Stockwell","Stockwell Day","Canadian Alliance",0,0,1
NA,"Andre Bachand","BACHAND, Andre",NA,"Progressive Conservative Party",1,0,0
NA,"Eric Lowther","LOWTHER, Eric C.",NA,"Reform Party",0,1,1
NA,"Angela Vautour","VAUTOUR, Angela",NA,"Progressive Conservative Party",1,0,0
NA,"Gurmant Grewal","GREWAL, Gurmant",NA,"Canadian Alliance",0,1,1
NA,"Charlie Power","POWER, Charlie",NA,"Progressive Conservative Party",1,0,0
NA,"Chuck Cadman","CADMAN, Chuck",NA,"Canadian Alliance",0,1,1
NA,"Rejean Lefebvre","LEFEBVRE, Rejean",NA,"Independent",0,0,0
NA,"Norman Doyle","DOYLE, Norman E.",NA,"Progressive Conservative Party",1,0,0
NA,"David Chatters","CHATTERS, David",NA,"Reform Party",0,1,1
NA,"David Price","PRICE, David",NA,"Progressive Conservative Party",1,0,0
NA,"Jim Jones","JONES, Jim",NA,"Progressive Conservative Party",1,0,1
NA,"Derrek Konrad","KONRAD, Derrek",NA,"Reform Party",0,1,1
NA,"Diane St-Jacques","ST-JACQUES, Diane",NA,"Progressive Conservative Party",1,0,0
NA,"John Herron","HERRON, John",NA,"Progressive Conservative Party",1,0,0
NA,"John Nunziata","NUNZIATA, John",NA,"Independent",0,0,0
NA,"Howard Hilstrom","HILSTROM, Howard",NA,"Reform Party",0,1,1
NA,"Roy Bailey","BAILEY, Roy H.",NA,"Canadian Alliance",0,1,1
NA,"Reed Elley","ELLEY, Reed",NA,"Reform Party",0,1,1
NA,"Grant Mcnally","MCNALLY, Grant",NA,"Canadian Alliance",0,1,1
NA,"Jim Pankiw","PANKIW, Jim",NA,"Reform Party",0,1,1
NA,"Jean Dube","DUBE, Jean",NA,"Progressive Conservative Party",1,0,0
NA,"Mark Muise","MUISE, Mark",NA,"Progressive Conservative Party",1,0,0
NA,"Philip Mayfield","MAYFIELD, Philip",NA,"Canadian Alliance",0,1,1
NA,"Peter Mackay","MACKAY, Peter G.",NA,"Progressive Conservative Party",1,0,0
NA,"John Reynolds","REYNOLDS, John",NA,"Reform Party",0,1,1
NA,"Rick Borotsik","BOROTSIK, Rick",NA,"Progressive Conservative Party",1,0,0
"MP110","Carol Skelton","SKELTON, Carol","Carol Skelton","Conservative Party of Canada",0,0,1
"MP125","Cheryl Gallant","GALLANT, Cheryl","Cheryl Gallant","Conservative Party of Canada",0,0,1
"MP175","David Anderson","ANDERSON, David L.","David Anderson","Conservative Party of Canada",0,0,1
"MP260","Gary Schellenberger","SCHELLENBERGER, Gary","Gary Schellenberger","Conservative Party of Canada",1,0,0
"MP316","James Lunney","LUNNEY, James D.","James Lunney","Canadian Alliance",0,0,1
"MP318","James Moore","MOORE, James","James Moore","Conservative Party of Canada",0,0,1
"MP319","James Rajotte","RAJOTTE, James","James Rajotte","Canadian Alliance",1,0,1
"MP365","Joe Peschisolido","PESCHISOLIDO, Joe",NA,"Canadian Alliance",0,0,1
"MP430","Kevin Sorenson","SORENSON, Kevin","Kevin Sorenson","Canadian Alliance",0,0,1
"MP480","Lynne Yelich","YELICH, Lynne","Lynne Yelich","Canadian Alliance",0,0,1
"MP60","Betty Hinton","HINTON, Betty","Betty Hinton","Conservative Party of Canada",0,0,1
"MP676","Rob Merrifield","MERRIFIELD, Rob","Rob Merrifield","Canadian Alliance",0,0,1
"MP724","Scott Reid","REID, Scott","Scott Reid","Canadian Alliance",0,0,1
"MP801","Vic Toews","TOEWS, Vic","Vic Toews","Conservative Party of Canada",0,0,1
"MP95","Brian Fitzpatrick","FITZPATRICK, Brian","Brian Fitzpatrick","Conservative Party of Canada",0,0,1
NA,"Andy Burton","BURTON, Andy",NA,"Canadian Alliance",0,0,1
NA,"Brian William Pallister","PALLISTER, Brian William",NA,"Canadian Alliance",0,0,1
NA,"Stephen Joseph Harper","HARPER, Stephen Joseph",NA,"Conservative Party of Canada",0,0,1
NA,"Rex Barnes","BARNES, Rex",NA,"Conservative Party of Canada",1,0,0
NA,"Larry Spencer","SPENCER, Larry",NA,"Canadian Alliance",0,0,1
NA,"Ghislain Lebel","LEBEL, Ghislain",NA,"Independent",0,0,0
NA,"John Bryden","BRYDEN, John",NA,"Independent",0,0,0
NA,"Jean Guy Carignan","CARIGNAN, Jean Guy",NA,"Independent",0,0,0
NA,"Pierre Brien","BRIEN, Pierre",NA,"Independent",0,0,0
"MP147","Colin Carrie","CARRIE, Colin","Colin Carrie","Conservative Party of Canada",0,0,0
"MP170","Daryl Kramp","KRAMP, Daryl","Daryl Kramp","Conservative Party of Canada",0,0,0
"MP171","Dave Batters","BATTERS, Dave","Dave Batters","Conservative Party of Canada",0,0,0
"MP182","David Tilson","TILSON, David","David Tilson","Conservative Party of Canada",0,0,0
"MP186","Dean Allison","ALLISON, Dean","Dean Allison","Conservative Party of Canada",0,0,0
"MP203","Diane Finley","FINLEY, Diane","Diane Finley","Conservative Party of Canada",0,0,0
"MP219","Ed Komarnicki","KOMARNICKI, Ed","Ed Komarnicki","Conservative Party of Canada",0,0,0
"MP257","Gary Goodyear","GOODYEAR, Gary","Gary Goodyear","Conservative Party of Canada",0,0,0
"MP278","Gord Brown","BROWN, Gord","Gord Brown","Conservative Party of Canada",0,0,0
"MP290","Guy Lauzon","LAUZON, Guy","Guy Lauzon","Conservative Party of Canada",0,0,0
"MP296","Helena Guergis","GUERGIS, Helena","Helena Guergis","Conservative Party of Canada",0,0,0
"MP30","Andrew Scheer","SCHEER, Andrew","Andrew Scheer","Conservative Party of Canada",0,0,0
"MP314","James Bezan","BEZAN, James","James Bezan","Conservative Party of Canada",0,0,0
"MP343","Jeff Watson","WATSON, Jeff","Jeff Watson","Conservative Party of Canada",0,0,0
"MP356","Jim Prentice","PRENTICE, Jim","Jim Prentice","Conservative Party of Canada",0,0,0
"MP366","Joe Preston","PRESTON, Joe","Joe Preston","Conservative Party of Canada",0,0,0
"MP395","Joy Smith","SMITH, Joy","Joy Smith","Conservative Party of Canada",0,0,0
"MP440","Larry Miller","MILLER, Larry","Larry Miller","Conservative Party of Canada",0,0,0
"MP51","Barry Devolin","DEVOLIN, Barry","Barry Devolin","Conservative Party of Canada",0,0,0
"MP516","Mark Warawa","WARAWA, Mark","Mark Warawa","Conservative Party of Canada",0,0,0
"MP52","Belinda Stronach","STRONACH, Belinda",NA,"Conservative Party of Canada",0,0,0
"MP542","Merv Tweed","TWEED, Merv","Merv Tweed","Conservative Party of Canada",0,0,0
"MP582","Nina Grewal","GREWAL, Nina","Nina Grewal","Conservative Party of Canada",0,0,0
"MP61","Bev Oda","ODA, Bev","Bev Oda","Conservative Party of Canada",0,0,0
"MP623","Peter Van Loan","VAN LOAN, Peter","Peter Van Loan","Conservative Party of Canada",0,0,0
"MP635","Pierre Poilievre","POILIEVRE, Pierre","Pierre Poilievre","Conservative Party of Canada",0,0,0
"MP649","Randy Kamp","KAMP, Randy","Randy Kamp","Conservative Party of Canada",0,0,0
"MP677","Rob Moore","MOORE, Rob","Rob Moore","Conservative Party of Canada",0,0,0
"MP701","Rona Ambrose","AMBROSE, Rona","Rona Ambrose","Conservative Party of Canada",0,0,0
"MP709","Russ Hiebert","HIEBERT, Russ","Russ Hiebert","Conservative Party of Canada",0,0,0
"MP773","Ted Menzies","MENZIES, Ted","Ted Menzies","Conservative Party of Canada",0,0,0
"MP790","Tom Lukiwski","LUKIWSKI, Tom","Tom Lukiwski","Conservative Party of Canada",0,0,0
"MP90","Bradley Trost","TROST, Bradley R.","Bradley Trost","Conservative Party of Canada",0,0,0
"MP96","Brian Jean","JEAN, Brian","Brian Jean","Conservative Party of Canada",0,0,0
"MP99","Brian Pallister","PALLISTER, Brian","Brian Pallister","Conservative Party of Canada",0,0,0
NA,"Bev Desjarlais","DESJARLAIS, Bev",NA,"Independent",0,0,0
NA,"Gary Ralph Schellenberger","SCHELLENBERGER, Gary Ralph",NA,"Conservative Party of Canada",0,0,0
NA,"Gordon O'connor","O'CONNOR, Gordon",NA,"Conservative Party of Canada",0,0,0
NA,"Carolyn Parrish","PARRISH, Carolyn",NA,"Independent",0,0,0
NA,"Norman e Doyle","DOYLE, Norman E",NA,"Conservative Party of Canada",0,0,0
NA,"Dave Mackenzie","MACKENZIE, Dave",NA,"Conservative Party of Canada",0,0,0
NA,"Scott Jeffrey Reid","REID, Scott Jeffrey",NA,"Conservative Party of Canada",0,0,0
NA,"Monte Kenton Solberg","SOLBERG, Monte Kenton",NA,"Conservative Party of Canada",0,0,0
NA,"Steven John Fletcher","FLETCHER, Steven John",NA,"Conservative Party of Canada",0,0,0
NA,"James D Lunney","LUNNEY, James D",NA,"Conservative Party of Canada",0,0,0
NA,"Jeremy Harrison","HARRISON, Jeremy",NA,"Conservative Party of Canada",0,0,0
NA,"Pat O'brien","O'BRIEN, Pat",NA,"Independent",0,0,0
NA,"Mike Chong","CHONG, Mike",NA,"Conservative Party of Canada",0,0,0
"MP100","Brian Storseth","STORSETH, Brian","Brian Storseth","Conservative Party of Canada",0,0,0
"MP103","Bruce Stanton","STANTON, Bruce","Bruce Stanton","Conservative Party of Canada",0,0,0
"MP132","Chris Warkentin","WARKENTIN, Chris","Chris Warkentin","Conservative Party of Canada",0,0,0
"MP134","Christian Paradis","PARADIS, Christian","Christian Paradis","Conservative Party of Canada",0,0,0
"MP149","Colin Mayes","MAYES, Colin","Colin Mayes","Conservative Party of Canada",0,0,0
"MP165","Daniel Petit","PETIT, Daniel","Daniel Petit","Conservative Party of Canada",0,0,0
"MP174","Dave Van Kesteren","VAN KESTEREN, Dave","Dave Van Kesteren","Conservative Party of Canada",0,0,0
"MP177","David Emerson","EMERSON, David","David Emerson","Conservative Party of Canada",0,0,0
"MP181","David Sweet","SWEET, David","David Sweet","Conservative Party of Canada",0,0,0
"MP187","Dean Del Mastro","DEL MASTRO, Dean","Dean Del Mastro","Conservative Party of Canada",0,0,0
"MP192","Denis Lebel","LEBEL, Denis","Denis Lebel","Conservative Party of Canada",0,0,0
"MP217","Ed Fast","FAST, Ed","Ed Fast","Conservative Party of Canada",0,0,0
"MP23","Andre Arthur","ARTHUR, Andre","André Arthur","Independent",0,0,0
"MP233","Fabian Manning","MANNING, Fabian","Fabian Manning","Conservative Party of Canada",0,0,0
"MP310","Jacques Gourde","GOURDE, Jacques","Jacques Gourde","Conservative Party of Canada",0,0,0
"MP351","Jim Flaherty","FLAHERTY, Jim","Jim Flaherty","Conservative Party of Canada",0,0,0
"MP361","Joe Comuzzi","COMUZZI, Joe",NA,"Conservative Party of Canada",0,0,0
"MP372","John Baird","BAIRD, John","John Baird","Conservative Party of Canada",0,0,0
"MP394","Josee Verner","VERNER, Josee","Josée Verner","Conservative Party of Canada",0,0,0
"MP442","Laurie Hawn","HAWN, Laurie","Laurie Hawn","Conservative Party of Canada",0,0,0
"MP445","Lawrence Cannon","CANNON, Lawrence","Lawrence Cannon","Conservative Party of Canada",0,0,0
"MP469","Louise Thibault","THIBAULT, Louise",NA,"Independent",0,0,0
"MP474","Luc Harvey","HARVEY, Luc","Luc Harvey","Conservative Party of Canada",0,0,0
"MP536","Maxime Bernier","BERNIER, Maxime","Maxime Bernier","Conservative Party of Canada",0,0,0
"MP544","Michael Chong","CHONG, Michael","Michael Chong","Conservative Party of Canada",0,0,0
"MP557","Mike Allen","ALLEN, Mike","Mike Allen","Conservative Party of Canada",0,0,0
"MP560","Mike Lake","LAKE, Mike","Mike Lake","Conservative Party of Canada",0,0,0
"MP562","Mike Wallace","WALLACE, Mike","Mike Wallace","Conservative Party of Canada",0,0,0
"MP596","Patrick Brown","BROWN, Patrick","Patrick Brown","Conservative Party of Canada",0,0,0
"MP62","Bev Shipley","SHIPLEY, Bev","Bev Shipley","Conservative Party of Canada",0,0,0
"MP631","Pierre Lemieux","LEMIEUX, Pierre","Pierre Lemieux","Conservative Party of Canada",0,0,0
"MP671","Rick Dykstra","DYKSTRA, Rick","Rick Dykstra","Conservative Party of Canada",0,0,0
"MP675","Rob Clarke","CLARKE, Rob","Rob Clarke","Conservative Party of Canada",0,0,0
"MP691","Rod Bruinooge","BRUINOOGE, Rod","Rod Bruinooge","Conservative Party of Canada",0,0,0
"MP698","Ron Cannan","CANNAN, Ron","Ron Cannan","Conservative Party of Canada",0,0,0
"MP706","Royal Galipeau","GALIPEAU, Royal","Royal Galipeau","Conservative Party of Canada",0,0,0
"MP71","Blaine Calkins","CALKINS, Blaine","Blaine Calkins","Conservative Party of Canada",0,0,0
"MP72","Blair Wilson","WILSON, Blair","Blair Wilson","Independent",0,0,0
"MP754","Steven Blaney","BLANEY, Steven","Steven Blaney","Conservative Party of Canada",0,0,0
"MP755","Steven Fletcher","FLETCHER, Steven","Steven Fletcher","Conservative Party of Canada",0,0,0
"MP766","Sylvie Boucher","BOUCHER, Sylvie","Sylvie Boucher","Conservative Party of Canada",0,0,0
"MP793","Tony Clement","CLEMENT, Tony","Tony Clement","Conservative Party of Canada",0,0,0
"MP804","Wajid Khan","KHAN, Wajid","Wajid Khan","Independent",0,0,0
NA,"Betty Zane Hinton","HINTON, Betty Zane",NA,"Conservative Party of Canada",0,0,0
NA,"Gary Vincent Lunn","LUNN, Gary Vincent",NA,"Conservative Party of Canada",0,0,0
NA,"Brad Trost","TROST, Brad",NA,"Conservative Party of Canada",0,0,0
NA,"Gerald Gordon Keddy","KEDDY, Gerald Gordon",NA,"Conservative Party of Canada",0,0,0
NA,"Pat Davidson","DAVIDSON, Pat",NA,"Conservative Party of Canada",0,0,0
NA,"Harold Glenn Albrecht","ALBRECHT, Harold Glenn",NA,"Conservative Party of Canada",0,0,0
NA,"Rick Norlock","NORLOCK, Rick",NA,"Conservative Party of Canada",0,0,0
"MP19","Alice Wong","WONG, Alice","Alice Wong","Conservative Party of Canada",0,0,0
"MP200","Devinder Shory","SHORY, Devinder","Devinder Shory","Conservative Party of Canada",0,0,0
"MP213","Dona Cadman","CADMAN, Dona","Dona Cadman","Conservative Party of Canada",0,0,0
"MP216","Earl Dreeshen","DREESHEN, Earl","Earl Dreeshen","Conservative Party of Canada",0,0,0
"MP218","Ed Holder","HOLDER, Ed","Ed Holder","Conservative Party of Canada",0,0,0
"MP252","Gail Shea","SHEA, Gail","Gail Shea","Conservative Party of Canada",0,0,0
"MP282","Greg Kerr","KERR, Greg","Greg Kerr","Conservative Party of Canada",0,0,0
"MP284","Greg Rickford","RICKFORD, Greg","Greg Rickford","Conservative Party of Canada",0,0,0
"MP29","Andrew Saxton","SAXTON, Andrew","Andrew Saxton","Conservative Party of Canada",0,0,0
"MP293","Harold Albrecht","ALBRECHT, Harold","Harold Albrecht","Conservative Party of Canada",0,0,0
"MP386","John Weston","WESTON, John","John Weston","Conservative Party of Canada",0,0,0
"MP401","Julian Fantino","FANTINO, Julian","Julian Fantino","Conservative Party of Canada",0,0,0
"MP414","Keith Ashfield","ASHFIELD, Keith","Keith Ashfield","Conservative Party of Canada",0,0,0
"MP417","Kelly Block","BLOCK, Kelly","Kelly Block","Conservative Party of Canada",0,0,0
"MP444","LaVar Payne","PAYNE, LaVar","LaVar Payne","Conservative Party of Canada",0,0,0
"MP453","Leona Aglukkaq","AGLUKKAQ, Leona","Leona Aglukkaq","Conservative Party of Canada",0,0,0
"MP460","Lisa Raitt","RAITT, Lisa","Lisa Raitt","Conservative Party of Canada",0,0,0
"MP465","Lois Brown","BROWN, Lois","Lois Brown","Conservative Party of Canada",0,0,0
"MP53","Ben Lobb","LOBB, Ben","Ben Lobb","Conservative Party of Canada",0,0,0
"MP56","Bernard Genereux","GENEREUX, Bernard","Bernard Généreux","Conservative Party of Canada",0,0,0
"MP599","Paul Calandra","CALANDRA, Paul","Paul Calandra","Conservative Party of Canada",0,0,0
"MP613","Peter Braid","BRAID, Peter","Peter Braid","Conservative Party of Canada",0,0,0
"MP618","Peter Kent","KENT, Peter","Peter Kent","Conservative Party of Canada",0,0,0
"MP648","Randy Hoback","HOBACK, Randy","Randy Hoback","Conservative Party of Canada",0,0,0
"MP652","Ray Boughen","BOUGHEN, Ray","Ray Boughen","Conservative Party of Canada",0,0,0
"MP688","Robert Sopuck","SOPUCK, Robert","Robert Sopuck","Conservative Party of Canada",0,0,0
"MP693","Rodney Weston","WESTON, Rodney","Rodney Weston","Conservative Party of Canada",0,0,0
"MP721","Scott Armstrong","ARMSTRONG, Scott","Scott Armstrong","Conservative Party of Canada",0,0,0
"MP737","Shelly Glover","GLOVER, Shelly","Shelly Glover","Conservative Party of Canada",0,0,0
"MP74","Blake Richards","RICHARDS, Blake","Blake Richards","Conservative Party of Canada",0,0,0
"MP753","Stephen Woodworth","WOODWORTH, Stephen","Stephen Woodworth","Conservative Party of Canada",0,0,0
"MP77","Bob Dechert","DECHERT, Bob","Bob Dechert","Conservative Party of Canada",0,0,0
"MP775","Terence Young","YOUNG, Terence","Terence Young","Conservative Party of Canada",0,0,0
"MP784","Tim Uppal","UPPAL, Tim","Tim Uppal","Conservative Party of Canada",0,0,0
"MP93","Brent Rathgeber","RATHGEBER, Brent","Brent Rathgeber","Conservative Party of Canada",0,0,0
NA,"Candice Hoeppner","HOEPPNER, Candice",NA,"Conservative Party of Canada",0,0,0
NA,"Cathy Mcleod","MCLEOD, Cathy",NA,"Conservative Party of Canada",0,0,0
NA,"Phil Mccoleman","MCCOLEMAN, Phil",NA,"Conservative Party of Canada",0,0,0
NA,"Peter Gordon Mackay","MACKAY, Peter Gordon",NA,"Conservative Party of Canada",0,0,0
NA,"Tilly O'neill-Gordon","O'NEILL-GORDON, Tilly",NA,"Conservative Party of Canada",0,0,0
"MP104",NA,NA,"Bryan Hayes",NA,0,0,0
